niche,path,filename,extension,type,pages,spreadsheet_sheets,spreadsheet_rows,spreadsheet_cols,notes
Plumbers,Plumbers/05_Phone_Scripts_Plumbers.pdf,05_Phone_Scripts_Plumbers.pdf,.pdf,client system,7,,,,
Plumbers,Plumbers/LM_Plumbers.pdf,LM_Plumbers.pdf,.pdf,lead magnet,2,,,,
Plumbers,Plumbers/Plumber_Bundle_Sales_Copy.md,Plumber_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Public Speakers,Public Speakers/01_AI_Playbook_Public_Speakers.pdf,01_AI_Playbook_Public_Speakers.pdf,.pdf,ai playbook,11,,,,
Public Speakers,Public Speakers/02_90Day_Content_Calendar_Public_Speakers.pdf,02_90Day_Content_Calendar_Public_Speakers.pdf,.pdf,90-day calendar,8,,,,
Public Speakers,Public Speakers/03_Email_Templates_Public_Speakers.pdf,03_Email_Templates_Public_Speakers.pdf,.pdf,templates,20,,,,
Public Speakers,Public Speakers/04_Brand_Kit_Public_Speakers.pdf,04_Brand_Kit_Public_Speakers.pdf,.pdf,brand kit,7,,,,
Public Speakers,Public Speakers/05_Business_Development_Public_Speakers.pdf,05_Business_Development_Public_Speakers.pdf,.pdf,other,5,,,,
Public Speakers,Public Speakers/LM_Public_Speakers.pdf,LM_Public_Speakers.pdf,.pdf,lead magnet,2,,,,
Public Speakers,Public Speakers/Public_Speaker_Bundle_Sales_Copy.md,Public_Speaker_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Tattoo Artists,Tattoo Artists/01_AI_Playbook_Tattoo_Artists.pdf,01_AI_Playbook_Tattoo_Artists.pdf,.pdf,ai playbook,12,,,,
Tattoo Artists,Tattoo Artists/02_90Day_Content_Calendar_Tattoo_Artists.pdf,02_90Day_Content_Calendar_Tattoo_Artists.pdf,.pdf,90-day calendar,8,,,,
Tattoo Artists,Tattoo Artists/03_Email_Templates_Tattoo_Artists.pdf,03_Email_Templates_Tattoo_Artists.pdf,.pdf,templates,15,,,,
Tattoo Artists,Tattoo Artists/04_Brand_Kit_Tattoo_Artists.pdf,04_Brand_Kit_Tattoo_Artists.pdf,.pdf,brand kit,7,,,,
Tattoo Artists,Tattoo Artists/05_Client_Intake_Tattoo_Artists.pdf,05_Client_Intake_Tattoo_Artists.pdf,.pdf,client system,5,,,,
Tattoo Artists,Tattoo Artists/LM_Tattoo_Artists.pdf,LM_Tattoo_Artists.pdf,.pdf,lead magnet,2,,,,
Tattoo Artists,Tattoo Artists/Tattoo_Artist_Bundle_Sales_Copy.md,Tattoo_Artist_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Videographers,Videographers/01_AI_Playbook_Videographers.pdf,01_AI_Playbook_Videographers.pdf,.pdf,ai playbook,12,,,,
Videographers,Videographers/02_90Day_Content_Calendar_Videographers.pdf,02_90Day_Content_Calendar_Videographers.pdf,.pdf,90-day calendar,8,,,,
Videographers,Videographers/03_Email_Templates_Videographers.pdf,03_Email_Templates_Videographers.pdf,.pdf,templates,16,,,,
Videographers,Videographers/04_Brand_Kit_Videographers.pdf,04_Brand_Kit_Videographers.pdf,.pdf,brand kit,7,,,,
Videographers,Videographers/05_Questionnaire_Kit_Videographers.pdf,05_Questionnaire_Kit_Videographers.pdf,.pdf,client system,7,,,,
Videographers,Videographers/LM_Videographers.pdf,LM_Videographers.pdf,.pdf,lead magnet,2,,,,
Videographers,Videographers/Videographer_Bundle_Sales_Copy.md,Videographer_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Wedding Photographers,Wedding Photographers/01_AI_Playbook_Wedding_Photographers.pdf,01_AI_Playbook_Wedding_Photographers.pdf,.pdf,ai playbook,11,,,,
Wedding Photographers,Wedding Photographers/02_90Day_Content_Calendar_Wedding_Photographers.pdf,02_90Day_Content_Calendar_Wedding_Photographers.pdf,.pdf,90-day calendar,8,,,,
Wedding Photographers,Wedding Photographers/03_Email_Templates_Wedding_Photographers.pdf,03_Email_Templates_Wedding_Photographers.pdf,.pdf,templates,18,,,,
Wedding Photographers,Wedding Photographers/04_Brand_Kit_Wedding_Photographers.pdf,04_Brand_Kit_Wedding_Photographers.pdf,.pdf,brand kit,7,,,,
Wedding Photographers,Wedding Photographers/05_Wedding_Day_Questionnaire_Photographers.pdf,05_Wedding_Day_Questionnaire_Photographers.pdf,.pdf,client system,6,,,,
Wedding Photographers,Wedding Photographers/LM_Wedding_Photographers.pdf,LM_Wedding_Photographers.pdf,.pdf,lead magnet,2,,,,
Wedding Photographers,Wedding Photographers/Wedding_Photographer_Bundle_Sales_Copy.md,Wedding_Photographer_Bundle_Sales_Copy.md,.md,sales copy,,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/01_Content_Calendar.pdf,01_Content_Calendar.pdf,.pdf,90-day calendar,7,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/01_Content_Calendar_EDITABLE.docx,01_Content_Calendar_EDITABLE.docx,.docx,90-day calendar,,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/02_Brand_Kit_Guide.pdf,02_Brand_Kit_Guide.pdf,.pdf,brand kit,7,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/02_Brand_Kit_Guide_EDITABLE.docx,02_Brand_Kit_Guide_EDITABLE.docx,.docx,brand kit,,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/03_AI_in_Your_Brokerage.pdf,03_AI_in_Your_Brokerage.pdf,.pdf,other,8,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/03_AI_in_Your_Brokerage_EDITABLE.docx,03_AI_in_Your_Brokerage_EDITABLE.docx,.docx,other,,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/04_Client_Renewal_Tracker.xlsx,04_Client_Renewal_Tracker.xlsx,.xlsx,spreadsheet,,"Renewal Tracker, Dashboard, How To Use",35,15,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/05_Benefits_Cost_Calculator.xlsx,05_Benefits_Cost_Calculator.xlsx,.xlsx,spreadsheet,,"Calculator, How To Use",35,7,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/06_Benefits_Proposal_Template.pdf,06_Benefits_Proposal_Template.pdf,.pdf,templates,4,,,,
broker_toolkit,broker_toolkit/Healthcare_Broker_Solo_Toolkit/07_Client_Onboarding_Questionnaire.pdf,07_Client_Onboarding_Questionnaire.pdf,.pdf,client system,4,,,,
broker_toolkit,broker_toolkit/Marketing_Assets/08_Product_Listing_Copy.pdf,08_Product_Listing_Copy.pdf,.pdf,other,8,,,,
broker_toolkit,broker_toolkit/Marketing_Assets/09_90_Day_Marketing_Plan.pdf,09_90_Day_Marketing_Plan.pdf,.pdf,90-day calendar,6,,,,
broker_toolkit,broker_toolkit/Marketing_Assets/10_Lead_Magnet_FREE_Give_Away.pdf,10_Lead_Magnet_FREE_Give_Away.pdf,.pdf,lead magnet,5,,,,
broker_toolkit,broker_toolkit/README.txt,README.txt,.txt,other,,,,,
